name,accuracy,precision,recall,f1
random_forests__tfi_df__3-gram__finegrained__none__content_features__none__none,0.778,0.829,0.611,0.617
random_forests__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.773,0.844,0.599,0.599
random_forests__tfi_df__3-gram__finegrained__none__none__none__none,0.78,0.844,0.613,0.619
random_forests__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.785,0.848,0.621,0.631
random_forests__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.787,0.85,0.625,0.637
random_forests__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.781,0.839,0.616,0.624
random_forests__tfi_df__3-gram__none__lemmatize__none__none__none,0.784,0.841,0.62,0.63
random_forests__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.791,0.843,0.634,0.649
random_forests__tfi_df__3-gram__none__none__content_features__none__none,0.785,0.837,0.624,0.635
random_forests__tfi_df__3-gram__none__none__none__sentiment_features__none,0.79,0.842,0.632,0.647
random_forests__tfi_df__3-gram__none__none__none__none__none,0.778,0.818,0.614,0.621
random_forests__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.734,0.761,0.528,0.48
random_forests__both__1-gram__standard__lemmatize__content_features__none__none,0.719,0.588,0.51,0.452
random_forests__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.72,0.598,0.509,0.449
random_forests__both__1-gram__standard__lemmatize__none__none__none,0.715,0.528,0.502,0.436
random_forests__both__1-gram__standard__none__content_features__sentiment_features__none,0.719,0.592,0.512,0.459
random_forests__both__1-gram__standard__none__content_features__none__none,0.719,0.59,0.511,0.455
random_forests__both__1-gram__standard__none__none__sentiment_features__none,0.724,0.653,0.516,0.461
random_forests__both__1-gram__standard__none__none__none__none,0.722,0.624,0.517,0.467
random_forests__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.72,0.601,0.512,0.456
random_forests__both__1-gram__finegrained__lemmatize__content_features__none__none,0.724,0.653,0.516,0.461
random_forests__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.729,0.699,0.524,0.474
random_forests__both__1-gram__finegrained__lemmatize__none__none__none,0.717,0.568,0.507,0.444
random_forests__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.728,0.708,0.519,0.463
random_forests__both__1-gram__finegrained__none__content_features__none__none,0.723,0.635,0.518,0.468
random_forests__both__1-gram__finegrained__none__none__sentiment_features__none,0.721,0.613,0.51,0.449
random_forests__both__1-gram__finegrained__none__none__none__none,0.714,0.528,0.503,0.439
random_forests__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.719,0.584,0.509,0.448
random_forests__both__1-gram__none__lemmatize__content_features__none__none,0.724,0.653,0.516,0.461
random_forests__both__1-gram__none__lemmatize__none__sentiment_features__none,0.72,0.604,0.516,0.466
random_forests__both__1-gram__none__lemmatize__none__none__none,0.723,0.644,0.513,0.454
random_forests__both__1-gram__none__none__content_features__sentiment_features__none,0.728,0.67,0.527,0.483
random_forests__both__1-gram__none__none__content_features__none__none,0.724,0.647,0.519,0.468
random_forests__both__1-gram__none__none__none__sentiment_features__none,0.715,0.562,0.509,0.454
random_forests__both__1-gram__none__none__none__none__none,0.715,0.566,0.51,0.457
random_forests__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.74,0.745,0.544,0.511
random_forests__both__2-gram__standard__lemmatize__content_features__none__none,0.741,0.742,0.547,0.517
random_forests__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.741,0.742,0.547,0.517
random_forests__both__2-gram__standard__lemmatize__none__none__none,0.747,0.775,0.555,0.53
random_forests__both__2-gram__standard__none__content_features__sentiment_features__none,0.75,0.784,0.561,0.54
random_forests__both__2-gram__standard__none__content_features__none__none,0.741,0.749,0.546,0.515
random_forests__both__2-gram__standard__none__none__sentiment_features__none,0.75,0.801,0.558,0.535
random_forests__both__2-gram__standard__none__none__none__none,0.747,0.793,0.552,0.524
random_forests__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.743,0.774,0.547,0.516
random_forests__both__2-gram__finegrained__lemmatize__content_features__none__none,0.749,0.781,0.559,0.537
random_forests__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.742,0.761,0.546,0.515
random_forests__both__2-gram__finegrained__lemmatize__none__none__none,0.742,0.753,0.548,0.518
random_forests__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.743,0.774,0.547,0.516
random_forests__both__2-gram__finegrained__none__content_features__none__none,0.749,0.836,0.553,0.523
random_forests__both__2-gram__finegrained__none__none__sentiment_features__none,0.738,0.721,0.545,0.516
random_forests__both__2-gram__finegrained__none__none__none__none,0.741,0.749,0.546,0.515
random_forests__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.749,0.789,0.558,0.534
random_forests__both__2-gram__none__lemmatize__content_features__none__none,0.745,0.79,0.55,0.52
random_forests__both__2-gram__none__lemmatize__none__sentiment_features__none,0.743,0.743,0.552,0.527
random_forests__both__2-gram__none__lemmatize__none__none__none,0.745,0.79,0.55,0.52
random_forests__both__2-gram__none__none__content_features__sentiment_features__none,0.737,0.722,0.542,0.509
random_forests__both__2-gram__none__none__content_features__none__none,0.747,0.783,0.553,0.527
random_forests__both__2-gram__none__none__none__sentiment_features__none,0.742,0.78,0.544,0.509
random_forests__both__2-gram__none__none__none__none__none,0.742,0.746,0.549,0.521
random_forests__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.793,0.85,0.637,0.653
random_forests__both__3-gram__standard__lemmatize__content_features__none__none,0.784,0.841,0.62,0.63
random_forests__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.792,0.855,0.633,0.649
random_forests__both__3-gram__standard__lemmatize__none__none__none,0.78,0.826,0.616,0.625
random_forests__both__3-gram__standard__none__content_features__sentiment_features__none,0.778,0.804,0.617,0.627
random_forests__both__3-gram__standard__none__content_features__none__none,0.78,0.826,0.616,0.625
random_forests__both__3-gram__standard__none__none__sentiment_features__none,0.784,0.836,0.621,0.632
random_forests__both__3-gram__standard__none__none__none__none,0.781,0.813,0.622,0.634
random_forests__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.787,0.839,0.628,0.641
random_forests__both__3-gram__finegrained__lemmatize__content_features__none__none,0.783,0.819,0.623,0.635
random_forests__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.783,0.815,0.624,0.637
random_forests__both__3-gram__finegrained__lemmatize__none__none__none,0.791,0.829,0.638,0.654
random_forests__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.788,0.84,0.63,0.644
random_forests__both__3-gram__finegrained__none__content_features__none__none,0.783,0.829,0.621,0.631
random_forests__both__3-gram__finegrained__none__none__sentiment_features__none,0.783,0.819,0.623,0.635
random_forests__both__3-gram__finegrained__none__none__none__none,0.787,0.834,0.629,0.643
random_forests__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.797,0.848,0.644,0.663
random_forests__both__3-gram__none__lemmatize__content_features__none__none,0.792,0.834,0.639,0.656
random_forests__both__3-gram__none__lemmatize__none__sentiment_features__none,0.787,0.839,0.628,0.641
random_forests__both__3-gram__none__lemmatize__none__none__none,0.792,0.83,0.64,0.657
random_forests__both__3-gram__none__none__content_features__sentiment_features__none,0.794,0.824,0.647,0.666
random_forests__both__3-gram__none__none__content_features__none__none,0.788,0.822,0.635,0.651
random_forests__both__3-gram__none__none__none__sentiment_features__none,0.792,0.849,0.635,0.65
random_forests__both__3-gram__none__none__none__none__none,0.793,0.831,0.642,0.66
knn__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.623,0.503,0.502,0.501
knn__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.623,0.503,0.502,0.501
knn__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.648,0.541,0.536,0.537
knn__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.644,0.536,0.532,0.533
knn__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.64,0.515,0.513,0.51
knn__bag_of_words__1-gram__standard__none__content_features__none__none,0.638,0.513,0.51,0.508
knn__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.643,0.54,0.537,0.537
knn__bag_of_words__1-gram__standard__none__none__none__none,0.636,0.529,0.527,0.527
knn__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.652,0.538,0.532,0.531
knn__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.652,0.538,0.532,0.531
knn__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.636,0.528,0.525,0.526
knn__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.633,0.524,0.522,0.522
knn__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.662,0.553,0.544,0.545
knn__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.663,0.555,0.547,0.548
knn__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.622,0.5,0.5,0.498
knn__bag_of_words__1-gram__finegrained__none__none__none__none,0.621,0.5,0.5,0.498
knn__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.637,0.533,0.53,0.53
knn__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.637,0.533,0.53,0.53
knn__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.621,0.513,0.512,0.512
knn__bag_of_words__1-gram__none__lemmatize__none__none__none,0.623,0.519,0.518,0.518
knn__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.593,0.493,0.493,0.493
knn__bag_of_words__1-gram__none__none__content_features__none__none,0.593,0.493,0.493,0.493
knn__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.626,0.513,0.512,0.511
knn__bag_of_words__1-gram__none__none__none__none__none,0.627,0.513,0.511,0.511
knn__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.647,0.522,0.517,0.515
knn__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.647,0.522,0.517,0.515
knn__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.663,0.534,0.525,0.521
knn__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.662,0.533,0.524,0.52
knn__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.655,0.53,0.523,0.52
knn__bag_of_words__2-gram__standard__none__content_features__none__none,0.655,0.53,0.523,0.52
knn__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.659,0.533,0.525,0.522
knn__bag_of_words__2-gram__standard__none__none__none__none,0.651,0.523,0.518,0.515
knn__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.671,0.55,0.537,0.535
knn__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.671,0.55,0.537,0.535
knn__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.69,0.571,0.546,0.543
knn__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.691,0.574,0.549,0.547
knn__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.656,0.528,0.521,0.518
knn__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.656,0.528,0.521,0.518
knn__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.679,0.559,0.541,0.539
knn__bag_of_words__2-gram__finegrained__none__none__none__none,0.68,0.557,0.538,0.535
knn__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.64,0.531,0.528,0.528
knn__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.64,0.531,0.528,0.528
knn__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.709,0.612,0.579,0.582
knn__bag_of_words__2-gram__none__lemmatize__none__none__none,0.701,0.597,0.567,0.568
knn__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.663,0.551,0.541,0.542
knn__bag_of_words__2-gram__none__none__content_features__none__none,0.663,0.551,0.541,0.542
knn__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.705,0.606,0.577,0.58
knn__bag_of_words__2-gram__none__none__none__none__none,0.706,0.607,0.576,0.58
knn__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.652,0.523,0.518,0.514
knn__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.651,0.522,0.517,0.513
knn__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.645,0.513,0.51,0.506
knn__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.648,0.517,0.513,0.509
knn__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.667,0.545,0.533,0.531
knn__bag_of_words__3-gram__standard__none__content_features__none__none,0.666,0.544,0.532,0.53
knn__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.65,0.516,0.512,0.507
knn__bag_of_words__3-gram__standard__none__none__none__none,0.652,0.52,0.515,0.51
knn__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.671,0.563,0.551,0.552
knn__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.671,0.563,0.551,0.552
knn__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.7,0.595,0.566,0.568
knn__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.705,0.603,0.57,0.573
knn__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.662,0.544,0.534,0.533
knn__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.662,0.544,0.534,0.533
knn__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.7,0.596,0.567,0.569
knn__bag_of_words__3-gram__finegrained__none__none__none__none,0.692,0.577,0.551,0.55
knn__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.658,0.556,0.55,0.551
knn__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.658,0.556,0.55,0.551
knn__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.71,0.599,0.55,0.543
knn__bag_of_words__3-gram__none__lemmatize__none__none__none,0.716,0.612,0.554,0.547
knn__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.655,0.545,0.538,0.539
knn__bag_of_words__3-gram__none__none__content_features__none__none,0.653,0.543,0.536,0.537
knn__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.726,0.636,0.565,0.56
knn__bag_of_words__3-gram__none__none__none__none__none,0.729,0.646,0.561,0.552
knn__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.635,0.511,0.509,0.507
knn__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.635,0.511,0.509,0.507
knn__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.634,0.517,0.515,0.514
knn__tfi_df__1-gram__standard__lemmatize__none__none__none,0.635,0.518,0.516,0.515
knn__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.637,0.515,0.512,0.51
knn__tfi_df__1-gram__standard__none__content_features__none__none,0.637,0.515,0.512,0.51
knn__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.635,0.521,0.518,0.518
knn__tfi_df__1-gram__standard__none__none__none__none,0.636,0.522,0.519,0.518
knn__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.636,0.506,0.505,0.501
knn__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.636,0.506,0.505,0.501
knn__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.607,0.478,0.481,0.478
knn__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.607,0.478,0.481,0.478
knn__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.634,0.501,0.501,0.496
knn__tfi_df__1-gram__finegrained__none__content_features__none__none,0.634,0.501,0.501,0.496
knn__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.607,0.481,0.484,0.481
knn__tfi_df__1-gram__finegrained__none__none__none__none,0.607,0.481,0.484,0.481
knn__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.622,0.523,0.522,0.522
knn__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.628,0.527,0.526,0.526
knn__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.649,0.562,0.561,0.561
knn__tfi_df__1-gram__none__lemmatize__none__none__none,0.665,0.58,0.577,0.578
knn__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.624,0.527,0.526,0.527
knn__tfi_df__1-gram__none__none__content_features__none__none,0.634,0.538,0.537,0.537
knn__tfi_df__1-gram__none__none__none__sentiment_features__none,0.649,0.57,0.573,0.571
knn__tfi_df__1-gram__none__none__none__none__none,0.655,0.574,0.575,0.575
knn__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.603,0.474,0.477,0.474
knn__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.603,0.474,0.477,0.474
knn__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.61,0.474,0.478,0.473
knn__tfi_df__2-gram__standard__lemmatize__none__none__none,0.612,0.476,0.48,0.476
knn__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.603,0.474,0.477,0.474
knn__tfi_df__2-gram__standard__none__content_features__none__none,0.603,0.474,0.477,0.474
knn__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.613,0.479,0.482,0.478
knn__tfi_df__2-gram__standard__none__none__none__none,0.612,0.476,0.48,0.476
knn__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.636,0.506,0.505,0.501
knn__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.636,0.506,0.505,0.501
knn__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.648,0.534,0.528,0.528
knn__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.648,0.534,0.528,0.528
knn__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.638,0.51,0.508,0.505
knn__tfi_df__2-gram__finegrained__none__content_features__none__none,0.638,0.51,0.508,0.505
knn__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.648,0.534,0.528,0.528
knn__tfi_df__2-gram__finegrained__none__none__none__none,0.648,0.534,0.528,0.528
knn__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.647,0.544,0.54,0.541
knn__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.645,0.542,0.538,0.539
knn__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.658,0.564,0.56,0.561
knn__tfi_df__2-gram__none__lemmatize__none__none__none,0.657,0.559,0.554,0.555
knn__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.648,0.55,0.546,0.547
knn__tfi_df__2-gram__none__none__content_features__none__none,0.644,0.543,0.54,0.541
knn__tfi_df__2-gram__none__none__none__sentiment_features__none,0.638,0.542,0.54,0.54
knn__tfi_df__2-gram__none__none__none__none__none,0.656,0.563,0.56,0.561
knn__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.627,0.498,0.499,0.495
knn__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.627,0.498,0.499,0.495
knn__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.63,0.501,0.501,0.497
knn__tfi_df__3-gram__standard__lemmatize__none__none__none,0.631,0.501,0.5,0.497
knn__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.626,0.497,0.498,0.494
knn__tfi_df__3-gram__standard__none__content_features__none__none,0.626,0.497,0.498,0.494
knn__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.631,0.501,0.5,0.497
knn__tfi_df__3-gram__standard__none__none__none__none,0.63,0.496,0.497,0.493
knn__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.64,0.512,0.51,0.507
knn__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.638,0.511,0.509,0.506
knn__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.636,0.512,0.51,0.508
knn__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.634,0.509,0.507,0.505
knn__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.64,0.512,0.51,0.507
knn__tfi_df__3-gram__finegrained__none__content_features__none__none,0.638,0.511,0.509,0.506
knn__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.633,0.506,0.505,0.502
knn__tfi_df__3-gram__finegrained__none__none__none__none,0.633,0.506,0.505,0.502
knn__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.641,0.53,0.526,0.526
knn__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.644,0.532,0.527,0.527
knn__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.717,0.624,0.581,0.584
knn__tfi_df__3-gram__none__lemmatize__none__none__none,0.709,0.609,0.572,0.575
knn__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.622,0.517,0.516,0.516
knn__tfi_df__3-gram__none__none__content_features__none__none,0.627,0.523,0.522,0.522
knn__tfi_df__3-gram__none__none__none__sentiment_features__none,0.716,0.622,0.58,0.583
knn__tfi_df__3-gram__none__none__none__none__none,0.707,0.605,0.569,0.571
knn__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.624,0.505,0.505,0.503
knn__both__1-gram__standard__lemmatize__content_features__none__none,0.624,0.505,0.505,0.503
knn__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.647,0.539,0.534,0.534
knn__both__1-gram__standard__lemmatize__none__none__none,0.647,0.539,0.534,0.534
knn__both__1-gram__standard__none__content_features__sentiment_features__none,0.638,0.513,0.51,0.508
knn__both__1-gram__standard__none__content_features__none__none,0.638,0.513,0.51,0.508
knn__both__1-gram__standard__none__none__sentiment_features__none,0.642,0.538,0.535,0.535
knn__both__1-gram__standard__none__none__none__none,0.642,0.538,0.535,0.535
knn__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.653,0.54,0.534,0.534
knn__both__1-gram__finegrained__lemmatize__content_features__none__none,0.653,0.54,0.534,0.534
knn__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.637,0.528,0.525,0.525
knn__both__1-gram__finegrained__lemmatize__none__none__none,0.637,0.528,0.525,0.525
knn__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.663,0.555,0.547,0.548
knn__both__1-gram__finegrained__none__content_features__none__none,0.663,0.555,0.547,0.548
knn__both__1-gram__finegrained__none__none__sentiment_features__none,0.62,0.499,0.499,0.497
knn__both__1-gram__finegrained__none__none__none__none,0.619,0.498,0.498,0.496
knn__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.635,0.531,0.528,0.529
knn__both__1-gram__none__lemmatize__content_features__none__none,0.635,0.531,0.528,0.529
knn__both__1-gram__none__lemmatize__none__sentiment_features__none,0.624,0.516,0.515,0.515
knn__both__1-gram__none__lemmatize__none__none__none,0.626,0.518,0.517,0.517
knn__both__1-gram__none__none__content_features__sentiment_features__none,0.595,0.495,0.495,0.495
knn__both__1-gram__none__none__content_features__none__none,0.595,0.495,0.495,0.495
knn__both__1-gram__none__none__none__sentiment_features__none,0.626,0.517,0.516,0.515
knn__both__1-gram__none__none__none__none__none,0.624,0.515,0.514,0.513
knn__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.643,0.516,0.512,0.509
knn__both__2-gram__standard__lemmatize__content_features__none__none,0.643,0.516,0.512,0.509
knn__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.66,0.533,0.524,0.521
knn__both__2-gram__standard__lemmatize__none__none__none,0.659,0.532,0.524,0.52
knn__both__2-gram__standard__none__content_features__sentiment_features__none,0.653,0.526,0.52,0.516
knn__both__2-gram__standard__none__content_features__none__none,0.653,0.526,0.52,0.516
knn__both__2-gram__standard__none__none__sentiment_features__none,0.651,0.522,0.517,0.513
knn__both__2-gram__standard__none__none__none__none,0.651,0.522,0.517,0.513
knn__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.673,0.554,0.54,0.538
knn__both__2-gram__finegrained__lemmatize__content_features__none__none,0.673,0.554,0.54,0.538
knn__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.695,0.584,0.556,0.556
knn__both__2-gram__finegrained__lemmatize__none__none__none,0.694,0.582,0.556,0.555
knn__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.657,0.528,0.521,0.517
knn__both__2-gram__finegrained__none__content_features__none__none,0.657,0.528,0.521,0.517
knn__both__2-gram__finegrained__none__none__sentiment_features__none,0.676,0.552,0.536,0.533
knn__both__2-gram__finegrained__none__none__none__none,0.676,0.552,0.536,0.533
knn__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.637,0.525,0.522,0.522
knn__both__2-gram__none__lemmatize__content_features__none__none,0.637,0.525,0.522,0.522
knn__both__2-gram__none__lemmatize__none__sentiment_features__none,0.705,0.603,0.572,0.574
knn__both__2-gram__none__lemmatize__none__none__none,0.705,0.603,0.572,0.574
knn__both__2-gram__none__none__content_features__sentiment_features__none,0.656,0.54,0.533,0.532
knn__both__2-gram__none__none__content_features__none__none,0.656,0.54,0.533,0.532
knn__both__2-gram__none__none__none__sentiment_features__none,0.699,0.594,0.566,0.568
knn__both__2-gram__none__none__none__none__none,0.698,0.592,0.564,0.566
knn__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.652,0.523,0.518,0.514
knn__both__3-gram__standard__lemmatize__content_features__none__none,0.652,0.523,0.518,0.514
knn__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.651,0.521,0.515,0.511
knn__both__3-gram__standard__lemmatize__none__none__none,0.652,0.522,0.516,0.512
knn__both__3-gram__standard__none__content_features__sentiment_features__none,0.67,0.548,0.535,0.533
knn__both__3-gram__standard__none__content_features__none__none,0.67,0.548,0.535,0.533
knn__both__3-gram__standard__none__none__sentiment_features__none,0.652,0.517,0.512,0.507
knn__both__3-gram__standard__none__none__none__none,0.653,0.52,0.515,0.509
knn__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.674,0.567,0.555,0.556
knn__both__3-gram__finegrained__lemmatize__content_features__none__none,0.674,0.567,0.555,0.556
knn__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.702,0.602,0.573,0.576
knn__both__3-gram__finegrained__lemmatize__none__none__none,0.705,0.606,0.576,0.579
knn__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.663,0.545,0.535,0.534
knn__both__3-gram__finegrained__none__content_features__none__none,0.663,0.545,0.535,0.534
knn__both__3-gram__finegrained__none__none__sentiment_features__none,0.694,0.582,0.556,0.555
knn__both__3-gram__finegrained__none__none__none__none,0.695,0.584,0.556,0.556
knn__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.657,0.554,0.548,0.549
knn__both__3-gram__none__lemmatize__content_features__none__none,0.657,0.554,0.548,0.549
knn__both__3-gram__none__lemmatize__none__sentiment_features__none,0.717,0.615,0.555,0.548
knn__both__3-gram__none__lemmatize__none__none__none,0.72,0.621,0.558,0.551
knn__both__3-gram__none__none__content_features__sentiment_features__none,0.653,0.543,0.536,0.537
knn__both__3-gram__none__none__content_features__none__none,0.653,0.543,0.536,0.537
knn__both__3-gram__none__none__none__sentiment_features__none,0.722,0.626,0.558,0.551
knn__both__3-gram__none__none__none__none__none,0.717,0.614,0.552,0.543
svc__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.721,0.36,0.5,0.419
svc__bag_of_words__1-gram__standard__none__content_features__none__none,0.721,0.36,0.5,0.419
